Sr,Proc_ID,SAS9_Proc,SAS9_Prod,SAS9_Proc_Cat,SAS9_Office_Analytics,SAS9_Analytics_Pro,SASV_Proc,SASV_Prod,SAS Visual Machine Learning,SAS Visual Data Science,SAS Data Science Programming*,SAS Visual Data Science Decisioning,SASV_Proc_Cat,SASV_CLD_PRD_ADDON,Open_Source_Mapping,Azure_Prod,AWS_Prod,GCP_Prod
1,PROC_1,ACCESS,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
2,PROC_2,ACECLUS,SAS/STAT,Analytics,Y,Y,ACECLUS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
3,PROC_3,ADAPTIVEREG,SAS/STAT,Analytics,Y,Y,ADAPTIVEREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
4,PROC_4,AGGREGATION,SAS Risk Dimensions,Advanced Analytics,,,,,,,,,,,,,,
5,PROC_5,ALLELE,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
6,PROC_6,ANOM,SAS/QC,Advanced Analytics,,,ANOM,,,,,,Advanced Analytics,SAS/QC,,,,
7,PROC_7,ANOVA,SAS/STAT,Analytics,Y,Y,ANOVA,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
8,PROC_8,APPEND,Base SAS,Data Management,Y,Y,APPEND,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
9,PROC_9,APPSRV,SAS/IntrNet,SAS ENV,,,,,,,,,,,,,,
10,PROC_10,ARIMA,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
11,PROC_11,AUTHLIB,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
12,PROC_12,AUTOREG,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
13,PROC_13,BCHOICE,SAS/STAT,Analytics,Y,Y,BCHOICE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
14,PROC_14,BGLIMM ,SAS/STAT,Analytics,Y,Y,,,,,,,,,,,,
15,PROC_15,BINNING,SAS Visual Statistics,Advanced Analytics,,,BINNING,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
16,PROC_16,BLIMM,SAS/STAT,Analytics,Y,Y,,,,,,,,,,,,
17,PROC_17,BMDP,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
18,PROC_18,BOM,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
19,PROC_19,BOXPLOT,SAS/STAT,Analytics,Y,Y,BOXPLOT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
20,PROC_20,BOXPLOT ,SAS/STAT,Advanced Analytics,Y,Y,,,,,,,,,,,,
21,PROC_21,BTL,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
22,PROC_22,BUILD,SAS/AF,SAS ENV,,,,,,,,,,,,,,
23,PROC_23,CALENDAR,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
24,PROC_24,CALIS,SAS/STAT,Analytics,Y,Y,CALIS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
25,PROC_25,CALLRFC,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
26,PROC_26,CANCORR,SAS/STAT,Analytics,Y,Y,CANCORR,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
27,PROC_27,CANDISC,SAS/STAT,Analytics,Y,Y,CANDISC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
28,PROC_28,CAPABILITY,SAS/QC,Advanced Analytics,,,CAPABILITY,,,,,,Advanced Analytics,SAS/QC,,,,
29,PROC_29,CARDINALITY,SAS Visual Statistics,Advanced Analytics,,,CARDINALITY,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
30,PROC_30,CARIMA,SAS Econometrics,Advanced Analytics,,,CARIMA,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
31,PROC_31,CASECONTROL,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
32,PROC_32,CATALOG,Base SAS,Data Management,Y,Y,CATALOG,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
33,PROC_33,CATMOD,SAS/STAT,Analytics,Y,Y,CATMOD,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
34,PROC_34,CAUSALGRAPH,SAS/STAT,Analytics,Y,Y,CAUSALGRAPH,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
35,PROC_35,CAUSALMED,SAS/STAT,Analytics,Y,Y,CAUSALMED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
36,PROC_36,CAUSALTRT,SAS/STAT,Analytics,Y,Y,CAUSALTRT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
37,PROC_37,CCDM,SAS Econometrics,Advanced Analytics,,,CCDM,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
38,PROC_38,CCOPULA,SAS Econometrics,Advanced Analytics,,,CCOPULA,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
39,PROC_39,CDISC,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
40,PROC_40,CESM,SAS Econometrics,Advanced Analytics,,,CESM,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
41,PROC_41,CHART,Base SAS,Reporting,Y,Y,,,,,,,,,,,,
42,PROC_42,CIMPORT,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
43,PROC_43,CLP,SAS Optimization,Advanced Analytics,,,CLP,SAS® Optimization,,Y,Y,Y,Advanced Analytics,,,,,
44,PROC_44,CLUSTER,SAS/STAT,Analytics,Y,Y,CLUSTER,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
